image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall,split
GPAB5743_jpg.rf.e977816285ab91f398c9cf38144e91de.jpg,lcc,153687,119512,19901,0.5243500511770727,0.6879654063345622,0.5625459829647985,0.8853549784547319,train
GPAB5767_jpg.rf.5e9dcd3a001722ecbb252bc7810e23dd.jpg,lcc,400535,196660,22682,0.6461523818434948,0.7850456482283626,0.6706938269744388,0.9464057445707521,train
GPAB5916_jpg.rf.d72c77ea11466eba34b333085f39bc94.jpg,lcc,318107,279558,34652,0.5030815239824329,0.6694001834970498,0.5322496716387943,0.9017686295742986,train
GPAB6017_jpg.rf.2a7ce631b79425a164d63b2137dcb999.jpg,lcc,237817,137924,55506,0.5514635464130765,0.7108946229359224,0.6329280009368156,0.8107683338844891,train
GPAB6031_jpg.rf.c8c7491ba0185bc1872720abe9f324f0.jpg,lcc,332709,174784,50994,0.5957327565368576,0.7466573009753186,0.6555932791191209,0.8671003354156731,train
GPAB6033_jpg.rf.e583d1e7ca6b0479db2a6ff5d7a2ef5e.jpg,lcc,245304,163188,63014,0.5202563700143794,0.6844324158424129,0.6005111483211422,0.795620106513405,train
GPAB6112_jpg.rf.275e9e45ae9d2003a909da0c5f0de468.jpg,lcc,398821,149214,47500,0.6696852410017883,0.8021694443438768,0.7277290683989162,0.8935743556767438,train
GPAB6151_jpg.rf.c36cadd2306d5b5385f070e07094abae.jpg,lcc,119428,273596,213064,0.19704729346233552,0.3292222363118112,0.3038694837974271,0.3591905970669971,train
GPAB6199_jpg.rf.bfde89e764df96e5529e9f0eaca7fc63.jpg,lcc,69456,201305,23983,0.23564856282061722,0.3814168039538715,0.25652143403222766,0.7433298729652501,train
GPAB6203_jpg.rf.51578668f786e422636d911cb62b28bf.jpg,lcc,162034,155902,47720,0.44313234296716036,0.6141257177509523,0.5096434502541392,0.7724953993725984,train
GPAB6208_jpg.rf.c473a27a0a8d6f6587dc146ae5eb3014.jpg,lcc,57668,112424,9284,0.32149228436357147,0.48655945731594136,0.33904004891470496,0.8613334926514518,train
GPAB6213_jpg.rf.a18255c26a2019ef53cab4aad446882f.jpg,lcc,43510,331651,2219,0.11529492818909322,0.20675235809831546,0.11597687392879324,0.9514749939863106,train
GPAB6220_jpg.rf.3bc13f3d7e06c9294ec7edc12332c5da.jpg,lcc,133458,89098,2140,0.5939491579734397,0.7452548345125282,0.5996603102140585,0.984218056313515,train
GPAB6236_jpg.rf.46b13879c47d4fdd782cf071312ef0fe.jpg,lcc,9479,89854,28201,0.07432527796509167,0.13836643238232868,0.09542649471978094,0.25156581740976647,train
GPAB6245_jpg.rf.47051ee1d535ca875a821dca928db358.jpg,lcc,89819,138437,16197,0.3674285036387363,0.5374006796860042,0.39350115659610263,0.8472211741623906,train
GPAB6251_jpg.rf.d7a423a98ef5280e1fa58def52ffcf9b.jpg,lcc,85801,127309,49495,0.32673026027684166,0.4925345717352744,0.40261367368964385,0.6341724810785241,train
GPAB6286_jpg.rf.b9de6c3dd697e300894bf557002032ac.jpg,lcc,141609,121083,31410,0.48149621559866984,0.650013426330756,0.5390685669910009,0.8184592443604459,train
GPAB6318_jpg.rf.d15aea90cad5a842336ad5d3bce3c7bf.jpg,lcc,322772,146270,22648,0.6564542699668491,0.7926017420088353,0.6881515941003151,0.9344334433443344,train
GPAB6343_jpg.rf.0d5a7465def88e0de6cf8a58d5eb8cfa.jpg,lcc,342687,146022,49421,0.6368108077973724,0.7781116849470435,0.7012086947447254,0.8739607455088904,train
GPAB6357_jpg.rf.f77decaa064ed06ac4ae7dc5f14b7c03.jpg,lcc,155176,148535,118120,0.367862959336796,0.5378652252052402,0.5109330909976919,0.5677946256074,train
GPAB6362_jpg.rf.409a2850d857b0bd69c899eb31575f58.jpg,lcc,41360,39177,18805,0.41633951400213404,0.5879091981634945,0.5135527769844916,0.6874428654533367,train
GPAB6368_jpg.rf.4ccdaea8dd51721346f6943ef0c1a15f.jpg,lcc,46888,99859,17748,0.2850420985440287,0.44363075554798637,0.31951590151757786,0.7254161767436104,train
GPAB6415_jpg.rf.6edab159b05aadee5406742ad5b6bae4.jpg,lcc,320154,195945,17523,0.5999640194744594,0.7499718895822792,0.6203344707120145,0.9481072148828614,train
GPAB6420_jpg.rf.b77275a4c2d4ceebbfe562a217560760.jpg,lcc,171687,30895,278509,0.3568701139701221,0.5260195656103607,0.8474938543404646,0.3813605629548019,train
GPAB6428_jpg.rf.b16d2b18243733f492c9084c55db4346.jpg,lcc,292015,143943,80141,0.5658119856849171,0.7227074397919105,0.6698236986131691,0.7846575092165651,train
