method,model,model_share,class_name,value,value_type
reweight,3,0.18445718730620675,finger_porites:bleached,0.181778799295412,responsibility
reweight,3,0.18445718730620675,finger_porites:healthy,0.18871661144922788,responsibility
reweight,3,0.18445718730620675,knob_porites:bleached,0.167479139077934,responsibility
reweight,3,0.18445718730620675,knob_porites:healthy,0.17119450030569908,responsibility
reweight,3,0.18445718730620675,mounding_:bleached,0.21343619738296774,responsibility
reweight,3,0.18445718730620675,mounding_:healthy,0.2464339178209769,responsibility
reweight,3,0.18445718730620675,noncoral,0.1725057216792453,responsibility
reweight,3,0.18445718730620675,oddball:bleached,0.15177635063494094,responsibility
reweight,3,0.18445718730620675,oddball:healthy,0.24077429494716177,responsibility
reweight,3,0.18445718730620675,pocillopora_:bleached,0.19261131133561393,responsibility
reweight,3,0.18445718730620675,pocillopora_:healthy,0.1909499416322186,responsibility
reweight,3,0.18445718730620675,table_acropora:bleached,0.1881683598659174,responsibility
reweight,3,0.18445718730620675,table_acropora:healthy,0.267113461872282,responsibility
reweight,4,0.24354676542105233,branching_acropora:bleached,0.2934510222987703,responsibility
reweight,4,0.24354676542105233,branching_acropora:healthy,0.21365332075512367,responsibility
reweight,4,0.24354676542105233,finger_acropora:bleached,0.12974196025198162,responsibility
reweight,4,0.24354676542105233,finger_acropora:healthy,0.30243924991694254,responsibility
reweight,4,0.24354676542105233,finger_porites:bleached,0.23673837378115625,responsibility
reweight,4,0.24354676542105233,finger_porites:healthy,0.2758228299502167,responsibility
reweight,4,0.24354676542105233,knob_porites:bleached,0.24558749661165782,responsibility
reweight,4,0.24354676542105233,knob_porites:healthy,0.17759956271968314,responsibility
reweight,4,0.24354676542105233,mounding_:bleached,0.15073891554168728,responsibility
reweight,4,0.24354676542105233,mounding_:healthy,0.24824357764876268,responsibility
reweight,4,0.24354676542105233,noncoral,0.25453144416857854,responsibility
reweight,4,0.24354676542105233,oddball:bleached,0.2373163935079263,responsibility
reweight,4,0.24354676542105233,oddball:healthy,0.2285409624403166,responsibility
reweight,4,0.24354676542105233,pocillopora_:bleached,0.2452817366944201,responsibility
reweight,4,0.24354676542105233,pocillopora_:healthy,0.2678488952979781,responsibility
reweight,4,0.24354676542105233,table_acropora:bleached,0.2631065044089479,responsibility
reweight,4,0.24354676542105233,table_acropora:healthy,0.21706469329879233,responsibility
reweight,5,0.25961396133909787,branching_acropora:bleached,0.2901217903877968,responsibility
reweight,5,0.25961396133909787,branching_acropora:healthy,0.24399860668633594,responsibility
reweight,5,0.25961396133909787,finger_acropora:bleached,0.15414643466622377,responsibility
reweight,5,0.25961396133909787,finger_acropora:healthy,0.29156616005257624,responsibility
reweight,5,0.25961396133909787,finger_porites:bleached,0.27783359565062726,responsibility
reweight,5,0.25961396133909787,finger_porites:healthy,0.21809346989519163,responsibility
reweight,5,0.25961396133909787,knob_porites:bleached,0.2663533671226081,responsibility
reweight,5,0.25961396133909787,knob_porites:healthy,0.30699246751373555,responsibility
reweight,5,0.25961396133909787,mounding_:bleached,0.2001863514250339,responsibility
reweight,5,0.25961396133909787,mounding_:healthy,0.2857332538332214,responsibility
reweight,5,0.25961396133909787,noncoral,0.26636085975873697,responsibility
reweight,5,0.25961396133909787,oddball:bleached,0.30671770613346905,responsibility
reweight,5,0.25961396133909787,oddball:healthy,0.23703019502113798,responsibility
reweight,5,0.25961396133909787,pocillopora_:bleached,0.27576523013224774,responsibility
reweight,5,0.25961396133909787,pocillopora_:healthy,0.25736462275392114,responsibility
reweight,5,0.25961396133909787,table_acropora:bleached,0.2715393573252906,responsibility
reweight,5,0.25961396133909787,table_acropora:healthy,0.2013402694553564,responsibility
multinomial,1,,branching_acropora:bleached,0.08437899705351645,calibration_beta
multinomial,1,,branching_acropora:healthy,0.18638914704147352,calibration_beta
multinomial,1,,finger_acropora:bleached,0.15265292029324776,calibration_beta
multinomial,1,,finger_acropora:healthy,0.0339223081518317,calibration_beta
multinomial,1,,finger_porites:bleached,0.23473462081038182,calibration_beta
multinomial,1,,finger_porites:healthy,0.14044266269316505,calibration_beta
multinomial,1,,knob_porites:bleached,0.21117124495054318,calibration_beta
multinomial,1,,knob_porites:healthy,0.10766635202615729,calibration_beta
multinomial,1,,mounding_:bleached,0.07223112811485735,calibration_beta
multinomial,1,,mounding_:healthy,0.04400527377273039,calibration_beta
multinomial,1,,noncoral,0.23378703438381318,calibration_beta
multinomial,1,,oddball:bleached,0.1392708825219303,calibration_beta
multinomial,1,,oddball:healthy,0.07899208994902386,calibration_beta
multinomial,1,,pocillopora_:bleached,0.19152027763741516,calibration_beta
multinomial,1,,pocillopora_:healthy,0.16672513856251006,calibration_beta
multinomial,1,,table_acropora:bleached,0.04751607996545348,calibration_beta
multinomial,1,,table_acropora:healthy,0.07627306626635136,calibration_beta
multinomial,2,,branching_acropora:bleached,0.19492898254651053,calibration_beta
multinomial,2,,branching_acropora:healthy,0.06090184101265886,calibration_beta
multinomial,2,,finger_acropora:bleached,0.10830163599504132,calibration_beta
multinomial,2,,finger_acropora:healthy,0.11343040782022583,calibration_beta
multinomial,2,,finger_porites:bleached,0.03866926187086315,calibration_beta
multinomial,2,,finger_porites:healthy,0.18112230320234596,calibration_beta
multinomial,2,,knob_porites:bleached,0.12102136815188946,calibration_beta
multinomial,2,,knob_porites:healthy,0.14533086574769433,calibration_beta
multinomial,2,,mounding_:bleached,0.15371099082820489,calibration_beta
