image,accuracy,coral_cover,coral_cover_pred,pct_bleached_true,pct_bleached_pred,cover_true__branching_acropora,cover_pred__branching_acropora,cover_true__finger_acropora,cover_pred__finger_acropora,cover_true__finger_porites,cover_pred__finger_porites,cover_true__knob_porites,cover_pred__knob_porites,cover_true__mounding_,cover_pred__mounding_,cover_true__oddball,cover_pred__oddball,cover_true__pocillopora_,cover_pred__pocillopora_,cover_true__table_acropora,cover_pred__table_acropora,cover_healthy_true__branching_acropora,cover_healthy_pred__branching_acropora,cover_healthy_true__finger_acropora,cover_healthy_pred__finger_acropora,cover_healthy_true__finger_porites,cover_healthy_pred__finger_porites,cover_healthy_true__knob_porites,cover_healthy_pred__knob_porites,cover_healthy_true__mounding_,cover_healthy_pred__mounding_,cover_healthy_true__oddball,cover_healthy_pred__oddball,cover_healthy_true__pocillopora_,cover_healthy_pred__pocillopora_,cover_healthy_true__table_acropora,cover_healthy_pred__table_acropora,image_id,filename,DateTimeUTC,DateTimeLocal,latPhoto,lonPhoto,NorthPhoto_UTM,EastPhoto_UTM,Depth_WaterSurface,HoboTempPhoto,photo_tide,accuracy_cropped,tp_lcc,fp_lcc,fn_lcc,tn_lcc,iou_lcc,specificity_lcc,balanced_acc_lcc
data/train\GPAB3265_jpg.rf.8995466d2b3f0f2c217c0f02097fd53f.jpg,0.7697525024414062,0.7678064921272922,0.999253921950826,0.0,0.0,0.0,0.0,0.0,0.0,0.3187500840177983,0.9779412470737802,0.4536903497636939,0.0213126748770459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3187500840177983,0.9779412470737802,0.4536903497636939,0.0213126748770459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3265,GPAB3265.JPG,2024-10-03 23:35:37.241,2024-10-04 11:35:37.241,7.18245681178,171.11913149964002,793920.6219991444,513153.0284960235,-1.66953125,32.45462820996093,-0.6435172666666668,0.768176170439946,0.767618292259032,0.23163562969179397,0.0001881998682602415,0.0005578781809137956,0.7680467687932631,0.0024026433211889516,0.5010787648248618
data/train\GPAB3266_jpg.rf.8a9ceca39439e1caada154d49866ef8d.jpg,0.997295379638672,0.9984319878323024,0.9979998962980318,0.0,0.0,0.0,0.0,0.0,0.0,0.0268780138384515,0.0,0.9777741716805288,0.9979998962980318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268780138384515,0.0,0.9777741716805288,0.9979998962980318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3266,GPAB3266.JPG,2024-10-03 23:35:39.243,2024-10-04 11:35:39.243,7.18246118515,171.11912624191,793921.1053139324,513152.44787593227,-1.6626526826031682,32.446039551757806,-0.6433838000000002,0.9972768631306858,0.99685437363051,0.00114552266752177,0.0015776142017923656,0.00042248950017587106,0.9972757121476729,0.2694427434171158,0.6339313258060736
data/train\GPAB3267_jpg.rf.e3a20dea0057ae4369291cfe9aaf4c33.jpg,0.9780654907226562,0.9761888758514604,0.9971097877374344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761888758514604,0.9902654578345876,0.0,0.0023515381498416,0.0,0.0044927917530049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761888758514604,0.9902654578345876,0.0,0.0023515381498416,0.0,0.0044927917530049,0.0,0.0,0.0,0.0,GPAB3267,GPAB3267.JPG,2024-10-03 23:35:41.245,2024-10-04 11:35:41.245,7.182465398350001,171.11912089695,793921.5709198124,513151.8576295826,-1.655565244657487,32.43745089355468,-0.6432503333333335,0.9779153215817239,0.9756069925853095,0.021502795152124943,0.0005818832661509399,0.0023083289964146436,0.9778642249302727,0.09694330187918578,0.5481736126805299
data/train\GPAB3268_jpg.rf.29fefe45e6a87e115961b6cbdb159bec.jpg,0.9939289093017578,0.9937846033303696,0.998771899839262,0.0,0.0,0.0,0.0,0.0,0.0,0.3065026895297499,0.9971453152635854,0.6887337413557688,0.0,0.0,0.0016265845756765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3065026895297499,0.9971453152635854,0.6887337413557688,0.0,0.0,0.0016265845756765,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3268,GPAB3268.JPG,2024-10-03 23:35:43.247,2024-10-04 11:35:43.247,7.18246992732,171.119116197,793922.0714518355,513151.3385883042,-1.648477806711806,32.429921875,-0.6431168666666668,0.993887345095185,0.9932219241324083,0.0055499757068536715,0.0005626791979612689,0.0006654209627767749,0.9938832748980787,0.10706009578248517,0.5532469487186071
data/train\GPAB3269_jpg.rf.c2d884cd6974e828bacc14f4aaf2636f.jpg,0.9982709884643556,0.9989053681131812,0.9992212750349034,0.0,0.0,0.0,0.0,0.0,0.0,0.9989053681131812,0.9992212750349034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989053681131812,0.9992212750349034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3269,GPAB3269.JPG,2024-10-03 23:35:45.249,2024-10-04 11:35:45.249,7.18247463256,171.11911154853,793922.5914715718,513150.82522576326,-1.641390368766125,32.429921875,-0.6429834000000001,0.9982591512185942,0.9981928971833396,0.0010283778515638442,0.0007124709298416132,6.625403525495344e-05,0.9982590358726958,0.06052631578959379,0.5299065320558611
data/train\GPAB3270_jpg.rf.e0b91e356fe900e9f8f67900f88a75b3.jpg,0.9193048477172852,0.9179093299124488,0.9990436374041476,0.0012501848391563,0.0,0.0,0.0,0.0012501848391563,0.0,0.9173696955963152,0.9974641027955362,0.0,0.0,0.0,0.0015795346086114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9173696955963152,0.9974641027955362,0.0,0.0,0.0,0.0015795346086114,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3270,GPAB3270.JPG,2024-10-03 23:35:47.251,2024-10-04 11:35:47.251,7.18247816041,171.1191061104,793922.9813109781,513150.224712448,-1.64102180248245,32.429921875,-0.6428499333333335,0.9187523885059811,0.9178526779112888,0.08119095949285882,5.6652001160006904e-05,0.0008997105946924044,0.9186792233416531,0.010959961634286168,0.505449121559418
data/train\GPAB3271_jpg.rf.21bf1e78667a608bb741f6939825a79c.jpg,0.8903293609619141,0.888531906599094,0.998240907353814,0.0919778845950726,0.0,0.0,0.0009909299185939,0.0,0.0,0.8003093775385378,0.99724997743522,0.0919778845950726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009909299185939,0.0,0.0,0.8003093775385378,0.99724997743522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3271,GPAB3271.JPG,2024-10-03 23:35:49.253,2024-10-04 11:35:49.253,7.18248128254,171.11910119791995,793923.3263140876,513149.6822466488,-1.7804063317461043,32.429921875,-0.6427164666666668,0.8895785283154384,0.8881756711341731,0.11006523621964093,0.0003562354649209176,0.0014028571812650936,0.8894234051452664,0.012585280132311756,0.5060921771101973
data/train\GPAB3272_jpg.rf.2b8771d36365460b06cf19eab013370a.jpg,0.6050052642822266,0.899527195841167,0.5178732262642518,0.0091017681185582,0.0092121915106496,0.0,0.0,0.0091017681185582,0.0092121915106496,0.5054981247227412,0.5086610347536022,0.3953762365019406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054981247227412,0.5086610347536022,0.3953762365019406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3272,GPAB3272.JPG,2024-10-03 23:35:51.255,2024-10-04 11:35:51.255,7.18248412795,171.1190967639,793923.6407401916,513149.1926145262,-1.7338556565539769,32.429921875,-0.6425830000000001,0.6023010314505025,0.5098507267779606,0.00802249948629119,0.3896764690632064,0.09245030467254178,0.561788218764151,0.9201525273086956,0.7434755478200634
data/train\GPAB3273_jpg.rf.7792a8041112c3f484a16677ed8557f4.jpg,0.8952198028564453,0.8192532306043713,0.7657468558139356,0.0,0.0033856772218626,0.0,0.0033856772218626,0.0101503102417216,0.0086888806524774,0.1030682339746852,0.0975749102689913,0.7083497368082454,0.6560973876706041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101503102417216,0.0086888806524774,0.1030682339746852,0.0975749102689913,0.7083497368082454,0.6560973876706041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3273,GPAB3273.JPG,2024-10-03 23:35:53.257,2024-10-04 11:35:53.257,7.182487038800001,171.11909244636,793923.9624038818,513148.715840834,-1.6873049813618488,32.428819334960934,-0.6424495333333334,0.8945024513993044,0.7397512689088057,0.02599558690512993,0.07950196169556556,0.1547511824904988,0.8751875821470645,0.8561767549591477,0.8795673837711229
data/train\GPAB3274_jpg.rf.6f8cbaf27e8d238f2d942b271ee4af69.jpg,0.8233394622802734,0.919607929743837,0.8194529529135453,0.0,0.0,0.0,0.0,0.0,0.0,0.4317439406363844,0.3326288640985706,0.4878639891074525,0.4868240888149746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4317439406363844,0.3326288640985706,0.4878639891074525,0.4868240888149746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3274,GPAB3274.JPG,2024-10-03 23:35:55.259,2024-10-04 11:35:55.259,7.18248967291,171.11908783078002,793924.2534660709,513148.2061691525,-1.7780769382102024,32.42023067675781,-0.6423160666666669,0.8221300000192041,0.7805954413382932,0.03885751157525208,0.1390124884055438,0.04153455868091094,0.8144221040082551,0.5166499450575701,0.6827424966119742
data/train\GPAB3275_jpg.rf.1d25169dab7666cefd953b8af141cd76.jpg,0.8117380142211914,0.9128692222160344,0.7369013851894385,0.0,0.0,0.0,0.0,0.0,0.0,0.701384421275803,0.5029823917898768,0.2142185000470499,0.2339189933995617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.701384421275803,0.5029823917898768,0.2142185000470499,0.2339189933995617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3275,GPAB3275.JPG,2024-10-03 23:35:57.261,2024-10-04 11:35:57.261,7.1824924914,171.11908363835,793924.564923179,513147.7432112376,-2.61394537594488,32.41164201855469,-0.6421826,0.810449125542755,0.7301098664741139,0.006791518715324574,0.18275935574192048,0.08033925906864103,0.793890435873904,0.9220537347644979,0.860925258469275
data/train\GPAB3276_jpg.rf.a8a21ae6b31115095960af1c82759954.jpg,0.8629684448242188,0.8602491151725582,0.9972067682817928,0.0,0.0,0.0,0.0,0.0,0.0,0.8602491151725582,0.9972067682817928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8602491151725582,0.9972067682817928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3276,GPAB3276.JPG,2024-10-03 23:35:59.263,2024-10-04 11:35:59.263,7.18249511641,171.11907922421,793924.8549851738,513147.2557803745,-3.3994214865645342,32.403053360351564,-0.6420491333333335,0.8620302924971626,0.8597430879757568,0.13746368030603595,0.000506027196801373,0.00228720452140585,0.8617140041421897,0.016366297245487847,0.5078890319605606
data/train\GPAB3277_jpg.rf.723ca0b955fa1ca90899447e24f64111.jpg,0.8926668167114258,0.878459372833541,0.9844879139196848,0.0,0.0,0.0,0.0,0.0,0.0,0.8728325808539281,0.9844879139196848,0.0056267919796129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8728325808539281,0.9844879139196848,0.0056267919796129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3277,GPAB3277.JPG,2024-10-03 23:36:01.265,2024-10-04 11:36:01.265,7.18249735635,171.11907440550002,793925.1024669898,513146.7236929025,-3.9501746289606574,32.39446470214844,-0.6419367500000001,0.891931986872099,0.8774396368126625,0.10704827710702236,0.00101973602087857,0.01449235005943661,0.890342796289386,0.11923873026908322,0.5590389535341797
data/train\GPAB3278_jpg.rf.67e2d52633a3ffb9fbefaa6b690632d9.jpg,0.8043746948242188,0.7383781780332346,0.933954328885031,0.0,0.0,0.0,0.0,0.0,0.0,0.7383781780332346,0.933954328885031,0.0,0.0,0.0,0.0,0.0015286438279085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7383781780332346,0.933954328885031,0.0,0.0,0.0,0.0,0.0015286438279085,0.0,0.0,0.0,0.0,0.0,GPAB3278,GPAB3278.JPG,2024-10-03 23:36:03.267,2024-10-04 11:36:03.267,7.18249938968,171.11906971146,793925.3271121432,513146.2053759038,-4.263808955096497,32.387021484375005,-0.6418366500000001,0.8030353950180806,0.7376839509681732,0.19627037791685786,0.0006942270650613924,0.06535144404990756,0.7892634576622226,0.24979355146532595,0.6244266730903351
data/train\GPAB3279_jpg.rf.e80fecf07458b621fb3eb07d30d469f8.jpg,0.7149581909179688,0.7100070478930257,0.9895203399888232,0.0,0.0,0.0,0.0,0.0,0.0,0.6931746821246613,0.9895203399888232,0.005366576855641,0.0,0.0,0.0,0.0114773113536371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931746821246613,0.9895203399888232,0.005366576855641,0.0,0.0,0.0,0.0114773113536371,0.0,0.0,0.0,0.0,0.0,GPAB3279,GPAB3279.JPG,2024-10-03 23:36:05.269,2024-10-04 11:36:05.269,7.18250128355,171.1190655084,793925.5363544137,513145.74127094087,-4.931097308021999,32.387021484375005,-0.6417365500000002,0.7130067233442733,0.706267055613061,0.28325328437576214,0.003739992279964688,0.006739667731212151,0.7110593594328067,0.023240798378872267,0.508986627953599
data/train\GPAB3280_jpg.rf.9dcf0019e869d86acfed8f793c0121c8.jpg,0.6258821487426758,0.6508863637673005,0.3163370928497493,0.0,0.002407229947592,0.0,0.002407229947592,0.0,0.0,0.641809560937389,0.288396133836992,0.0,0.0255337290651651,0.0,0.0,0.0090768028299114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641809560937389,0.288396133836992,0.0,0.0255337290651651,0.0,0.0,0.0090768028299114,0.0,0.0,0.0,0.0,0.0,GPAB3280,GPAB3280.JPG,2024-10-03 23:36:07.271,2024-10-04 11:36:07.271,7.182503248130001,171.11906136012,793925.7534150813,513145.2832120824,-5.608960781852125,32.387021484375005,-0.6416364500000001,0.6233208442876539,0.2952721504523518,0.021064942397397535,0.3556142133149487,0.328048693835302,0.43942492222789037,0.9396616453464544,0.6966539417990683
data/train\GPAB3281_jpg.rf.55f02dc1fe6c46a6329e2a014ae50f24.jpg,0.4697885513305664,0.7460233175795961,0.2717452465130213,0.1136199092415737,0.0112507033489974,0.0,0.0023246524543759,0.0,0.0,0.7221670638708104,0.119756569231626,0.0085986215319853,0.1317773557150346,0.0,0.0,0.0152624331938477,0.0178866691119846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6085471546292367,0.1108305183370045,0.0085986215319853,0.1317773557150346,0.0,0.0,0.0152624331938477,0.0178866691119846,0.0,0.0,0.0,0.0,GPAB3281,GPAB3281.JPG,2024-10-03 23:36:09.273,2024-10-04 11:36:09.273,7.18250513721,171.11905637659,793925.9621054482,513144.7329372932,-5.81895489286899,32.387021484375005,-0.6415363500000002,0.46615859103592505,0.24196357756427123,0.029781668948750062,0.5040597400153248,0.22419501347165388,0.31188711308370853,0.8827385700729294,0.6035381957544967
data/train\GPAB3288_jpg.rf.7a58e4d38c7055a146449a1c5f7d18bb.jpg,0.3876123428344726,0.6531591652375639,0.0536993756757431,0.0,0.0,0.0,0.0,0.0,0.0,0.6492463363438911,0.0302934573660084,0.0039128288936728,0.0234059183097347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6492463363438911,0.0302934573660084,0.0039128288936728,0.0234059183097347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3288,GPAB3288.JPG,2024-10-03 23:36:23.287,2024-10-04 11:36:23.287,7.18261981584,171.11911451795,793938.641224611,513151.1489010602,-6.0440607003362805,32.345352334960936,-0.6408356500000001,0.3834197836469677,0.04513916228013737,0.008560213395605733,0.6080200029574265,0.33828062136683035,0.06821496201815284,0.9753194764351523,0.5222142271404404
data/train\GPAB3405_jpg.rf.0a744a0303d7a1212bd37f5aef217427.jpg,0.9341325759887696,0.3402259934744576,0.2959769397549177,0.0,0.0,0.0,0.0,0.0,0.0,0.3313009027832456,0.2883990144472205,0.0091670619504035,0.0075779253076971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3313009027832456,0.2883990144472205,0.0091670619504035,0.0075779253076971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPAB3405,GPAB3405.JPG,2024-10-03 23:40:17.521,2024-10-04 11:40:17.521,7.18240262892,171.11932467664,793914.6377613753,513174.3583036533,-7.294909925412178,32.51572265625,-0.6324159666666668,0.9336816311167359,0.2849422821730555,0.011034657581862173,0.05528371130140208,0.6487393489436802,0.8111989809167921,0.9832750949981007,0.9103919749065017
