image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall
GPAB3114_jpg.rf.a0eef7d84c3db00e2182b17cfb131176.jpg,lcc,293671,23208,71945,0.7552800238668395,0.860580663594605,0.9267606878335264,0.8032225066736686
GPAB3115_jpg.rf.66786619ec5b1d81981d8d1dcbacae6b.jpg,lcc,590854,15933,90829,0.8469616522556822,0.9171404844505499,0.973742021500131,0.8667577158297919
GPAB3116_jpg.rf.ed8a4389d5c8493ac5b2c1d64f48a03b.jpg,lcc,389883,15877,62823,0.832046830550831,0.9083248492077729,0.9608709582018927,0.8612278167287378
GPAB3117_jpg.rf.48324a5515ea6a6df152c7f05a2f131c.jpg,lcc,211678,14720,48421,0.7702451431669571,0.8702129715085601,0.9349817577893798,0.8138362700356403
GPAB3118_jpg.rf.57920e1593dd8f883f267a8dc21b88b2.jpg,lcc,372853,23462,267259,0.561886089569513,0.7194968869008623,0.9407996164666995,0.5824808783462894
GPAB3119_jpg.rf.1eb13bc3f53bc0650f9acc7db755b399.jpg,lcc,363001,26142,130007,0.6992218048733506,0.822990621786973,0.9328216105647539,0.7362983967805796
GPAB3120_jpg.rf.5603d780549b726b1d30303f98c1122b.jpg,lcc,243340,75451,317847,0.38222663428824544,0.5530592810274803,0.763321423754121,0.4336166019526468
GPAB3121_jpg.rf.1b45c081583cecc29304e3ac5124201e.jpg,lcc,58450,20370,71804,0.38805236881240707,0.5591321732974928,0.7415630550621669,0.44873861839175766
GPAB3122_jpg.rf.dfef5ccb273d37124bbe24778f8a3383.jpg,lcc,134406,2775,633705,0.17435262801503723,0.29693402791585477,0.979771251120782,0.1749825220573589
GPAB3123_jpg.rf.0e78506e475476935d0cdd5fd34e42bc.jpg,lcc,224019,16895,96484,0.6639606636672416,0.7980485093967585,0.9298712403596304,0.6989606961557302
GPAB3124_jpg.rf.261f7fde12c4e7185009978cb8d41d5e.jpg,lcc,356404,23167,133124,0.6951579399057919,0.8201689335737355,0.9389653055686551,0.7280564135248647
GPAB3125_jpg.rf.cdb4c107b0c18a67d6336053f841f63c.jpg,lcc,445733,22776,60654,0.8423359153984689,0.9144216408724622,0.9513862060280592,0.8802220436148638
GPAB3126_jpg.rf.7f2a9644a452c8bf6f9b43429e1cf1ca.jpg,lcc,496930,12218,126662,0.7815699658703071,0.8773946360153256,0.9760030482295914,0.7968832185146698
GPAB3127_jpg.rf.a33eb97ca070a71c354688a5df3fe396.jpg,lcc,386370,9053,60844,0.8468068039108679,0.9170496904360953,0.9771055300273378,0.8639488030338943
GPAB3128_jpg.rf.9c417291ab540802a566e82e730a3fa4.jpg,lcc,228207,10887,55726,0.7740553558103249,0.872639462207496,0.9544656076689503,0.8037353882782206
GPAB3140_jpg.rf.3474ae4fcf56e867239b0fa23c90c845.jpg,lcc,420251,29625,120785,0.7364284575255712,0.84821053736356,0.9341485209257662,0.7767523787696198
GPAB3141_jpg.rf.496a8f719ffca8981eff66e05d24afae.jpg,lcc,418518,22394,120516,0.7454526671273966,0.8541654336055252,0.9492098196465508,0.7764222664989593
GPAB3142_jpg.rf.47763a8ac2730698e4e7bffda081cd94.jpg,lcc,163567,12137,354123,0.3087177512659793,0.471786603287597,0.9309235987797659,0.3159554946010161
GPAB3143_jpg.rf.9fc36c71d76476227a44163b79392c05.jpg,lcc,504720,19967,162664,0.7342973240745995,0.8467951992792375,0.9619449309778974,0.7562662575069226
GPAB3144_jpg.rf.a2b5b1860a1a0c32d5417f89d91114ef.jpg,lcc,373476,17138,333161,0.5160111913232703,0.680748525177922,0.9561254844936433,0.5285259617031093
GPAB3145_jpg.rf.60b0ade51bedfe79a34ae3c4cb01ef63.jpg,lcc,171953,16650,67346,0.6718252464358134,0.8037027169772518,0.9117193257795475,0.7185696555355434
GPAB3147_jpg.rf.08712d02692fd16b9c2191bf24d63a26.jpg,lcc,144265,14758,287709,0.32293410814537576,0.48820890799784095,0.9071958144419361,0.3339668591165209
GPAB3148_jpg.rf.215b32be1c7c28f0b92ea81efb374979.jpg,lcc,155698,11948,98195,0.5856809145316185,0.7387121950756632,0.928730777948773,0.6132425864438956
GPAB3149_jpg.rf.b85de5970d00d2f79e110927d0172e6e.jpg,lcc,255693,19028,90012,0.7010415838435239,0.8242497896606525,0.9307370022677552,0.7396277172733978
GPAB3150_jpg.rf.6c8b56def24a487f2d90b80b7048e1f4.jpg,lcc,451592,28541,113968,0.76012664513273,0.8637181275957666,0.9405560542599655,0.7984864559021148
GPAB3151_jpg.rf.2c56a82516e6b16eb781cce5002c00e2.jpg,lcc,540556,31954,41331,0.8806124061442621,0.9365166402892593,0.944186127753227,0.9289707451790468
GPAB3152_jpg.rf.20844ffc2344e194ff3830fb974c5f8f.jpg,lcc,321066,18654,156796,0.646637771995263,0.7854037882438704,0.9450900741787355,0.6718801662404628
GPAB3153_jpg.rf.861109ea12d8895926392ecc8c013b29.jpg,lcc,431768,21258,185908,0.6757630678599041,0.8065138572637391,0.9530755409181813,0.699020198291661
GPAB3154_jpg.rf.87d38b2413cadb6976ac03e5f0992a06.jpg,lcc,126018,12944,289944,0.29381263027329996,0.45418111308936,0.906852232984557,0.3029555584404345
GPAB3155_jpg.rf.d0fa59781b378d4a698078e736ac7453.jpg,lcc,715746,11678,4318,0.9781398361717655,0.9889491311845072,0.9839460892134436,0.9940033108168163
GPAB3159_jpg.rf.ed9a35831ae623a1f7ac0a397fdfcda7.jpg,lcc,345464,10041,14615,0.9333837674267805,0.9655442268133441,0.9717556715095428,0.9594116846580889
GPAB3160_jpg.rf.f7c2f442d5222845a4cf61cc49b880d6.jpg,lcc,345117,8135,118987,0.7308100347493536,0.8444716867558322,0.9769711141055111,0.7436199644907175
GPAB3161_jpg.rf.cb2162d68a96947fa46eb221ba5066b1.jpg,lcc,805870,56507,7256,0.9266782654292098,0.961943965483798,0.9344752932882022,0.9910764137415358
GPAB3162_jpg.rf.8427e11d3cb16eaac10a9b2e994311b9.jpg,lcc,1039541,563,589,0.9988930453073096,0.9994462161468374,0.9994587079753563,0.999433724630575
